FaultID,Latitude(WGS84),Longitude(WGS84),Strike,Dip,LengthKm,FrictionCoefficient
DEMO_TX_REEVES_NW_ALPHA_SEG_001,31.119345,-103.878615,324.5,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_002,31.128165,-103.885677,326.6,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_003,31.136881,-103.892875,322.9,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_004,31.144922,-103.900950,315.8,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_005,31.152177,-103.910045,310.2,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_006,31.159069,-103.919611,310.0,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_007,31.166269,-103.928780,315.1,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_008,31.174237,-103.936952,322.3,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_009,31.182911,-103.944207,326.5,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_010,31.191750,-103.951249,324.9,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_011,31.200100,-103.958927,318.7,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_012,31.207639,-103.967659,311.9,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_013,31.214598,-103.977144,309.3,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_014,31.221600,-103.986574,312.6,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_015,31.229242,-103.995174,319.6,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_016,31.237683,-104.002736,325.5,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_017,31.246540,-104.009760,326.3,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_018,31.255147,-104.017108,321.5,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_019,31.263007,-104.025427,314.3,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_020,31.270133,-104.034701,309.7,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_021,31.277036,-104.044267,310.7,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_022,31.284377,-104.053262,316.7,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_023,31.292523,-104.061213,323.6,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_024,31.301290,-104.068357,326.7,66,1.18,0.60
DEMO_TX_REEVES_NW_ALPHA_SEG_025,31.310073,-104.075481,323.9,66,1.18,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_001,31.169250,-103.807494,333.3,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_002,31.177857,-103.812293,335.7,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_003,31.186377,-103.817244,331.5,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_004,31.194334,-103.823172,323.5,71,1.05,0.60
